qno,hgh_prd_cattle,total_TLU_sold,TLUsold_totalTLU,TLUsold_ha,stocking_rate,tlu,cow_inmilk,gene_increase
BUN03,1,4,0.930232524871826,3.20000004768372,3.44000005722046,4.30000019073486,1,0
BUN04,1,0.5,,1.25,,,,
BUN05,1,0.5,,0.438596457242966,,,,0
BUN08,1,1,2,0.178571432828903,0.089285716414452,0.5,,1
BUN101,1,,,,1.51515138149261,0.899999976158142,1,0
BUN103,1,0.699999988079071,0.777777791023254,1.16666662693024,1.49999988079071,0.899999976158142,1,0
BUN104,1,,,,0,0,,0
BUN105,1,0.5,0.084745764732361,0.20833332836628,2.45833325386047,5.90000009536743,1,1
BUN106,1,,,,0,0,,0
BUN109,1,,,,3.4285717010498,2.40000009536743,1,0
BUN116,1,0.699999988079071,,0.174999997019768,0,0,,0
BUN118,1,,,,0,0,1,1
BUN119,1,,,,0,0,1,1
BUN12,1,,,,0,0,1,1
BUN120,1,,,,0,0,,0
BUN121,1,,,,0,0,1,0
BUN127,1,1,,0.3125,0,0,,0
BUN129,1,2.70000004768372,3.85714292526245,0.900000035762787,0.233333334326744,0.699999988079071,1,0
BUN13,1,,,,0,0,1,1
BUN130,1,,,,0,0,1,0
BUN131,1,2.20000004768372,,1.69230782985687,0,0,1,0
BUN136,1,,,,0,0,1,0
BUN137,1,,,,1.24999988079071,0.899999976158142,1,1
BUN138,1,0.699999988079071,0.5,0.4375,0.875,1.39999997615814,1,0
BUN139,1,0.699999988079071,0.699999988079071,0.318181782960892,0.45454540848732,1,,0
BUN14,1,0.200000002980232,0.222222238779068,0.333333373069763,1.5,0.899999976158142,1,0
BUN140,1,,,,0,0,,0
BUN143,1,,,,1.66666662693024,1,,0
BUN146,1,,,,0,0,1,0
BUN148,1,0.5,0.714285731315613,0.166666686534882,0.233333349227905,0.699999988079071,1,0
BUN149,1,1,,0.125,0,0,1,0
BUN15,1,,,,1.66666662693024,2,,1
BUN150,1,0.699999988079071,0.777777791023254,1.16666662693024,1.49999988079071,0.899999976158142,1,0
BUN151,1,,,,0.595521688461304,0.5,,0
BUN157,1,,,,0,0,,0
BUN158,1,,,,0,0,,0
BUN16,1,,,,0,0,1,0
BUN161,1,,,,0,0,,0
BUN18,1,,,,0,0,,0
BUN19,1,1,2,0.416666656732559,0.20833332836628,0.5,1,1
BUN20,1,,,,1.125,3.59999990463257,1,1
BUN21,1,,,,1.17241382598877,1.70000004768372,1,0
BUN22,1,,,,0,0,,0
BUN23,1,0.699999988079071,,0.603448212146759,0,0,,0
BUN24,1,0.5,,0.22727270424366,0,0,1,0
BUN25,1,,,,0,0,1,1
BUN27,1,2,,1.21713733673096,0,0,1,0
BUN32,1,4.5,,1.50000011920929,0,0,1,0
BUN37,1,0.699999988079071,,0.129629626870155,0,0,1,1
BUN39,1,0.5,0.714285731315613,0.370370358228683,0.518518507480621,0.699999988079071,1,
BUN41,1,,,,0,0,,0
BUN42,1,,,,0,0,1,0
BUN44,1,1,,0.064102560281754,0,0,1,1
BUN45,1,1,,0.416666656732559,0,0,1,0
BUN49,1,,,,0,0,1,
BUN50,1,,,,0,0,1,0
BUN51,1,,,,0.625,1,1,1
BUN52,1,1,,1,0,0,,0
BUN54,1,,,,0.409090846776962,0.899999976158142,1,1
BUN56,1,,,,0,0,1,0
BUN59,1,0.5,,1.25,0,0,1,0
BUN61,1,0,0,0,1.10000002384186,1.10000002384186,1,1
BUN62,1,1,,0.714285731315613,0,0,,0
BUN66,1,9.5,,0.783828318119049,0,0,1,0
BUN68,1,5.5,2.5,6.875,2.75,2.20000004768372,1,0
BUN69,1,,,,0,0,,0
BUN70,1,9,9,3.74999976158142,0.416666656732559,1,1,0
BUN71,1,1.5,0.882352888584137,1.875,2.125,1.70000004768372,1,1
BUN72,1,,,,0.583333373069763,0.699999988079071,1,0
BUN73,1,0.699999988079071,,0.699999988079071,0,0,,0
BUN74,1,1,,0.606796145439148,0,0,1,0
BUN75,1,,,,0.349999994039536,0.699999988079071,1,0
BUN76,1,0.5,1,0.222222223877907,0.222222223877907,0.5,,0
BUN87,1,1.5,0.600000023841858,0.714285612106323,1.19047594070435,2.5,,0
BUN89,1,,,,0.166666686534882,0.200000002980232,1,1
BUN92,1,1,,0.386025846004486,0,0,1,0
BUN94,1,,,,0.250170558691025,2.20000004768372,1,1
BUN95,1,0.899999976158142,0.749999940395355,0.340909034013748,0.45454540848732,1.20000004768372,1,0
BUN97,1,,,,0,0,1,1
BUN98,1,0.699999988079071,,0.349999994039536,0,0,1,0
BUN99,1,,,,0,0,1,0
KIA12021,0,0,,0,0,0,,
KIA120210,0,0,,,,0,,
KIA120211,1,0,0,0,1.16666662693024,0.699999988079071,1,1
KIA120212,0,0,,0,0,0,,
