AnimalID,Block,Breed,Treatment,DryMatterIntake
1,1,dorper,adlib,0.663
2,1,dorper,adlib,0.796
3,1,dorper,adlib,0.657
4,1,dorper,adlib,0.820
5,2,dorper,adlib,0.683
6,2,dorper,adlib,0.688
7,2,dorper,adlib,0.496
8,2,dorper,adlib,0.466
9,1,dorper,Infected,0.744
10,1,dorper,Infected,0.822
11,1,dorper,Infected,0.604
12,1,dorper,Infected,0.486
13,2,dorper,Infected,0.489
14,2,dorper,Infected,0.788
15,2,dorper,Infected,0.621
16,2,dorper,Infected,0.654
17,1,dorper,Restricted,0.532
18,1,dorper,Restricted,0.650
19,1,dorper,Restricted,0.474
20,1,dorper,Restricted,0.509
21,2,dorper,Restricted,0.525
22,2,dorper,Restricted,0.516
23,2,dorper,Restricted,0.501
24,2,dorper,Restricted,0.631
25,1,RM,adlib,0.523
26,1,RM,adlib,0.628
27,1,RM,adlib,0.566
28,1,RM,adlib,0.766
29,2,RM,adlib,0.611
30,2,RM,adlib,0.696
31,2,RM,adlib,0.580
32,2,RM,adlib,0.681
33,1,RM,Infected,0.587
34,1,RM,Infected,0.766
35,1,RM,Infected,0.582
36,1,RM,Infected,0.664
37,2,RM,Infected,0.660
38,2,RM,Infected,0.683
39,2,RM,Infected,0.514
40,2,RM,Infected,0.697
41,1,RM,Restricted,0.508
42,1,RM,Restricted,0.581
43,1,RM,Restricted,0.434
44,1,RM,Restricted,0.538
45,2,RM,Restricted,0.432
46,2,RM,Restricted,0.629
47,2,RM,Restricted,0.389
48,2,RM,Restricted,0.552
